2019-11-22 11:23:29 status installed krb5-locales:all 1.17-3
2019-11-22 11:23:29 configure libldap-common:all 2.4.47+dfsg-3+deb10u1 <none>
2019-11-22 11:23:29 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:29 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:29 status installed libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:29 configure libkrb5support0:amd64 1.17-3 <none>
2019-11-22 11:23:29 status unpacked libkrb5support0:amd64 1.17-3
2019-11-22 11:23:29 status half-configured libkrb5support0:amd64 1.17-3
2019-11-22 11:23:29 status installed libkrb5support0:amd64 1.17-3
2019-11-22 11:23:29 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1 <none>
2019-11-22 11:23:29 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-22 11:23:29 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-22 11:23:29 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-22 11:23:29 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2019-11-22 11:23:29 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-22 11:23:29 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-22 11:23:29 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-22 11:23:29 configure libk5crypto3:amd64 1.17-3 <none>
2019-11-22 11:23:29 status unpacked libk5crypto3:amd64 1.17-3
2019-11-22 11:23:29 status half-configured libk5crypto3:amd64 1.17-3
2019-11-22 11:23:29 status installed libk5crypto3:amd64 1.17-3
2019-11-22 11:23:29 configure libsasl2-2:amd64 2.1.27+dfsg-1 <none>
2019-11-22 11:23:29 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-22 11:23:29 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-22 11:23:29 status installed libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-22 11:23:29 configure libssh2-1:amd64 1.8.0-2.1 <none>
2019-11-22 11:23:29 status unpacked libssh2-1:amd64 1.8.0-2.1
2019-11-22 11:23:29 status half-configured libssh2-1:amd64 1.8.0-2.1
2019-11-22 11:23:29 status installed libssh2-1:amd64 1.8.0-2.1
2019-11-22 11:23:29 configure libkrb5-3:amd64 1.17-3 <none>
2019-11-22 11:23:29 status unpacked libkrb5-3:amd64 1.17-3
2019-11-22 11:23:29 status half-configured libkrb5-3:amd64 1.17-3
2019-11-22 11:23:29 status installed libkrb5-3:amd64 1.17-3
2019-11-22 11:23:29 configure openssl:amd64 1.1.1d-0+deb10u2 <none>
2019-11-22 11:23:29 status unpacked openssl:amd64 1.1.1d-0+deb10u2
2019-11-22 11:23:29 status half-configured openssl:amd64 1.1.1d-0+deb10u2
2019-11-22 11:23:29 status installed openssl:amd64 1.1.1d-0+deb10u2
2019-11-22 11:23:29 configure publicsuffix:all 20190415.1030-1 <none>
2019-11-22 11:23:29 status unpacked publicsuffix:all 20190415.1030-1
2019-11-22 11:23:29 status half-configured publicsuffix:all 20190415.1030-1
2019-11-22 11:23:29 status installed publicsuffix:all 20190415.1030-1
2019-11-22 11:23:29 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1 <none>
2019-11-22 11:23:29 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:29 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:29 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:29 configure ca-certificates:all 20190110 <none>
2019-11-22 11:23:29 status unpacked ca-certificates:all 20190110
2019-11-22 11:23:29 status half-configured ca-certificates:all 20190110
2019-11-22 11:23:30 status installed ca-certificates:all 20190110
2019-11-22 11:23:30 status triggers-pending ca-certificates:all 20190110
2019-11-22 11:23:30 configure libgssapi-krb5-2:amd64 1.17-3 <none>
2019-11-22 11:23:30 status unpacked libgssapi-krb5-2:amd64 1.17-3
2019-11-22 11:23:30 status half-configured libgssapi-krb5-2:amd64 1.17-3
2019-11-22 11:23:30 status installed libgssapi-krb5-2:amd64 1.17-3
2019-11-22 11:23:30 configure libcurl4:amd64 7.64.0-4 <none>
2019-11-22 11:23:30 status unpacked libcurl4:amd64 7.64.0-4
2019-11-22 11:23:30 status half-configured libcurl4:amd64 7.64.0-4
2019-11-22 11:23:30 status installed libcurl4:amd64 7.64.0-4
2019-11-22 11:23:30 configure curl:amd64 7.64.0-4 <none>
2019-11-22 11:23:30 status unpacked curl:amd64 7.64.0-4
2019-11-22 11:23:30 status half-configured curl:amd64 7.64.0-4
2019-11-22 11:23:30 status installed curl:amd64 7.64.0-4
2019-11-22 11:23:30 trigproc libc-bin:amd64 2.28-10 <none>
2019-11-22 11:23:30 status half-configured libc-bin:amd64 2.28-10
2019-11-22 11:23:30 status installed libc-bin:amd64 2.28-10
2019-11-22 11:23:30 trigproc ca-certificates:all 20190110 <none>
2019-11-22 11:23:30 status half-configured ca-certificates:all 20190110
2019-11-22 11:23:31 status installed ca-certificates:all 20190110
2019-11-22 11:24:01 startup archives unpack
2019-11-22 11:24:01 install perl-modules-5.28:all <none> 5.28.1-6
2019-11-22 11:24:01 status half-installed perl-modules-5.28:all 5.28.1-6
2019-11-22 11:24:01 status unpacked perl-modules-5.28:all 5.28.1-6
2019-11-22 11:24:01 install libgdbm6:amd64 <none> 1.18.1-4
2019-11-22 11:24:01 status triggers-pending libc-bin:amd64 2.28-10
2019-11-22 11:24:01 status half-installed libgdbm6:amd64 1.18.1-4
2019-11-22 11:24:01 status unpacked libgdbm6:amd64 1.18.1-4
2019-11-22 11:24:01 install libgdbm-compat4:amd64 <none> 1.18.1-4
2019-11-22 11:24:01 status half-installed libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:24:01 status unpacked libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:24:01 install libperl5.28:amd64 <none> 5.28.1-6
2019-11-22 11:24:01 status half-installed libperl5.28:amd64 5.28.1-6
2019-11-22 11:24:02 status unpacked libperl5.28:amd64 5.28.1-6
2019-11-22 11:24:02 install perl:amd64 <none> 5.28.1-6
2019-11-22 11:24:02 status half-installed perl:amd64 5.28.1-6
2019-11-22 11:24:02 status unpacked perl:amd64 5.28.1-6
2019-11-22 11:24:02 install netbase:all <none> 5.6
2019-11-22 11:24:02 status half-installed netbase:all 5.6
2019-11-22 11:24:02 status unpacked netbase:all 5.6
2019-11-22 11:24:02 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2019-11-22 11:24:02 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:24:02 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:24:02 install libmagic-mgc:amd64 <none> 1:5.35-4+deb10u1
2019-11-22 11:24:02 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:02 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:02 install libmagic1:amd64 <none> 1:5.35-4+deb10u1
2019-11-22 11:24:02 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:03 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:03 install file:amd64 <none> 1:5.35-4+deb10u1
2019-11-22 11:24:03 status half-installed file:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:03 status unpacked file:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:03 install mime-support:all <none> 3.62
2019-11-22 11:24:03 status half-installed mime-support:all 3.62
2019-11-22 11:24:03 status unpacked mime-support:all 3.62
2019-11-22 11:24:03 install xz-utils:amd64 <none> 5.2.4-1
2019-11-22 11:24:03 status half-installed xz-utils:amd64 5.2.4-1
2019-11-22 11:24:03 status unpacked xz-utils:amd64 5.2.4-1
2019-11-22 11:24:03 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u2
2019-11-22 11:24:03 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:24:03 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:24:03 install libglib2.0-data:all <none> 2.58.3-2+deb10u2
2019-11-22 11:24:03 status half-installed libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:24:04 status unpacked libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:24:04 install libgpm2:amd64 <none> 1.20.7-5
2019-11-22 11:24:04 status half-installed libgpm2:amd64 1.20.7-5
2019-11-22 11:24:04 status unpacked libgpm2:amd64 1.20.7-5
2019-11-22 11:24:04 install libslang2:amd64 <none> 2.3.2-2
2019-11-22 11:24:04 status half-installed libslang2:amd64 2.3.2-2
2019-11-22 11:24:04 status unpacked libslang2:amd64 2.3.2-2
2019-11-22 11:24:04 install mc-data:all <none> 3:4.8.22-1
2019-11-22 11:24:04 status half-installed mc-data:all 3:4.8.22-1
2019-11-22 11:24:04 status unpacked mc-data:all 3:4.8.22-1
2019-11-22 11:24:04 install mc:amd64 <none> 3:4.8.22-1
2019-11-22 11:24:04 status half-installed mc:amd64 3:4.8.22-1
2019-11-22 11:24:04 status unpacked mc:amd64 3:4.8.22-1
2019-11-22 11:24:04 install shared-mime-info:amd64 <none> 1.10-1
2019-11-22 11:24:04 status half-installed shared-mime-info:amd64 1.10-1
2019-11-22 11:24:05 status unpacked shared-mime-info:amd64 1.10-1
2019-11-22 11:24:05 install unzip:amd64 <none> 6.0-23+deb10u1
2019-11-22 11:24:05 status half-installed unzip:amd64 6.0-23+deb10u1
2019-11-22 11:24:05 status unpacked unzip:amd64 6.0-23+deb10u1
2019-11-22 11:24:05 install xdg-user-dirs:amd64 <none> 0.17-2
2019-11-22 11:24:05 status half-installed xdg-user-dirs:amd64 0.17-2
2019-11-22 11:24:05 status unpacked xdg-user-dirs:amd64 0.17-2
2019-11-22 11:24:05 startup packages configure
2019-11-22 11:24:05 configure perl-modules-5.28:all 5.28.1-6 <none>
2019-11-22 11:24:05 status unpacked perl-modules-5.28:all 5.28.1-6
2019-11-22 11:24:05 status half-configured perl-modules-5.28:all 5.28.1-6
2019-11-22 11:24:05 status installed perl-modules-5.28:all 5.28.1-6
2019-11-22 11:24:05 configure libgpm2:amd64 1.20.7-5 <none>
2019-11-22 11:24:05 status unpacked libgpm2:amd64 1.20.7-5
2019-11-22 11:24:05 status half-configured libgpm2:amd64 1.20.7-5
2019-11-22 11:24:05 status installed libgpm2:amd64 1.20.7-5
2019-11-22 11:24:05 configure mime-support:all 3.62 <none>
2019-11-22 11:24:05 status unpacked mime-support:all 3.62
2019-11-22 11:24:05 status half-configured mime-support:all 3.62
2019-11-22 11:24:05 status installed mime-support:all 3.62
2019-11-22 11:24:05 configure xdg-user-dirs:amd64 0.17-2 <none>
2019-11-22 11:24:05 status unpacked xdg-user-dirs:amd64 0.17-2
2019-11-22 11:24:05 status half-configured xdg-user-dirs:amd64 0.17-2
2019-11-22 11:24:05 status installed xdg-user-dirs:amd64 0.17-2
2019-11-22 11:24:05 configure libmagic-mgc:amd64 1:5.35-4+deb10u1 <none>
2019-11-22 11:24:05 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 status half-configured libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 status installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 configure libglib2.0-0:amd64 2.58.3-2+deb10u2 <none>
2019-11-22 11:24:05 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:24:05 status half-configured libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:24:05 status installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:24:05 configure unzip:amd64 6.0-23+deb10u1 <none>
2019-11-22 11:24:05 status unpacked unzip:amd64 6.0-23+deb10u1
2019-11-22 11:24:05 status half-configured unzip:amd64 6.0-23+deb10u1
2019-11-22 11:24:05 status installed unzip:amd64 6.0-23+deb10u1
2019-11-22 11:24:05 configure libmagic1:amd64 1:5.35-4+deb10u1 <none>
2019-11-22 11:24:05 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 status half-configured libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 status installed libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 configure file:amd64 1:5.35-4+deb10u1 <none>
2019-11-22 11:24:05 status unpacked file:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 status half-configured file:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 status installed file:amd64 1:5.35-4+deb10u1
2019-11-22 11:24:05 configure bzip2:amd64 1.0.6-9.2~deb10u1 <none>
2019-11-22 11:24:05 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:24:05 status half-configured bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:24:05 status installed bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:24:05 configure libglib2.0-data:all 2.58.3-2+deb10u2 <none>
2019-11-22 11:24:05 status unpacked libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:24:05 status half-configured libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:24:05 status installed libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:24:05 configure libslang2:amd64 2.3.2-2 <none>
2019-11-22 11:24:05 status unpacked libslang2:amd64 2.3.2-2
2019-11-22 11:24:05 status half-configured libslang2:amd64 2.3.2-2
2019-11-22 11:24:05 status installed libslang2:amd64 2.3.2-2
2019-11-22 11:24:05 configure xz-utils:amd64 5.2.4-1 <none>
2019-11-22 11:24:05 status unpacked xz-utils:amd64 5.2.4-1
2019-11-22 11:24:05 status half-configured xz-utils:amd64 5.2.4-1
2019-11-22 11:24:05 status installed xz-utils:amd64 5.2.4-1
2019-11-22 11:24:05 configure shared-mime-info:amd64 1.10-1 <none>
2019-11-22 11:24:05 status unpacked shared-mime-info:amd64 1.10-1
2019-11-22 11:24:05 status half-configured shared-mime-info:amd64 1.10-1
2019-11-22 11:24:13 status installed shared-mime-info:amd64 1.10-1
2019-11-22 11:24:13 configure mc-data:all 3:4.8.22-1 <none>
2019-11-22 11:24:13 status unpacked mc-data:all 3:4.8.22-1
2019-11-22 11:24:13 status half-configured mc-data:all 3:4.8.22-1
2019-11-22 11:24:13 status installed mc-data:all 3:4.8.22-1
2019-11-22 11:24:13 configure netbase:all 5.6 <none>
2019-11-22 11:24:13 status unpacked netbase:all 5.6
2019-11-22 11:24:13 status half-configured netbase:all 5.6
2019-11-22 11:24:13 status installed netbase:all 5.6
2019-11-22 11:24:13 configure libgdbm6:amd64 1.18.1-4 <none>
2019-11-22 11:24:13 status unpacked libgdbm6:amd64 1.18.1-4
